date,count
2020-12-26,37423
2020-12-27,43218
2020-12-28,40756
2020-12-29,73984
2020-12-30,64186
2020-12-31,47774
2021-01-01,28869
2021-01-02,55358
2021-01-03,50590
2021-01-04,70713
2021-01-05,59475
2021-01-06,52631
2021-01-07,47955
2021-01-08,43381
2021-01-09,36370
2021-01-10,33693
2021-01-11,53372
2021-01-12,45853
2021-01-13,42221
2021-01-14,39601
2021-01-15,37835
2021-01-16,28398
2021-01-17,26954
2021-01-18,41866
2021-01-19,37005
2021-01-20,32639
2021-01-21,29568
2021-01-22,27703
2021-01-23,20409
2021-01-24,15869
2021-01-25,27928
2021-01-26,25179
2021-01-27,23873
2021-01-28,22488
2021-01-29,20348
2021-01-30,15517
2021-01-31,14127
2021-02-01,20747
2021-02-02,18172
2021-02-03,17921
2021-02-04,16689
2021-02-05,14449
2021-02-06,10947
2021-02-07,10448
2021-02-08,14338
2021-02-09,12680
2021-02-10,12256
2021-02-11,11604
2021-02-12,10975
2021-02-13,8003
2021-02-14,7763
2021-02-15,12936
2021-02-16,11252
2021-02-17,10396
2021-02-18,10288
2021-02-19,9235
2021-02-20,7153
2021-02-21,7020
2021-02-22,10269
2021-02-23,8516
2021-02-24,7603
2021-02-25,6918
2021-02-26,5877
2021-02-27,4252
2021-02-28,4109
2021-03-01,6210
2021-03-02,5940
2021-03-03,5293
2021-03-04,4996
2021-03-05,4720
2021-03-06,3823
2021-03-07,3672
2021-03-08,5809
2021-03-09,5477
2021-03-10,5216
2021-03-11,4839
2021-03-12,4761
2021-03-13,3588
2021-03-14,3704
2021-03-15,5631
2021-03-16,4927
2021-03-17,5038
2021-03-18,4678
2021-03-19,4325
2021-03-20,3507
2021-03-21,4678
2021-03-22,5385
2021-03-23,4550
2021-03-24,5300
2021-03-25,4651
2021-03-26,3772
2021-03-27,3121
2021-03-28,4465
2021-03-29,3396
2021-03-30,3116
2021-03-31,3326
2021-04-01,3053
2021-04-02,2233
2021-04-03,2113
2021-04-04,2038
2021-04-05,2309
2021-04-06,2716
2021-04-07,2726
2021-04-08,2637
2021-04-09,2471
2021-04-10,1997
2021-04-11,2013
2021-04-12,2391
2021-04-13,2050
2021-04-14,2060
2021-04-15,1951
2021-04-16,1944
2021-04-17,1391
2021-04-18,2276
2021-04-19,2257
2021-04-20,2104
2021-04-21,2291
2021-04-22,2026
2021-04-23,1700
2021-04-24,1298
2021-04-25,1894
2021-04-26,2261
2021-04-27,1805
2021-04-28,2145
2021-04-29,1852
2021-04-30,1520
2021-05-01,1209
2021-05-02,1304
2021-05-03,1805
2021-05-04,2193
2021-05-05,2192
2021-05-06,1963
2021-05-07,1653
2021-05-08,1300
2021-05-09,1983
2021-05-10,2317
2021-05-11,1868
2021-05-12,1867
2021-05-13,1734
2021-05-14,1539
2021-05-15,1298
2021-05-16,1585
2021-05-17,2341
2021-05-18,2240
2021-05-19,2258
2021-05-20,1994
2021-05-21,1872
2021-05-22,1603
2021-05-23,1918
2021-05-24,2746
2021-05-25,2790
2021-05-26,3178
2021-05-27,3069
2021-05-28,2926
2021-05-29,2459
2021-05-30,2598
2021-05-31,3168
2021-06-01,4508
2021-06-02,5029
2021-06-03,5127
2021-06-04,4882
2021-06-05,3960
2021-06-06,4728
2021-06-07,6777
2021-06-08,6617
2021-06-09,6913
2021-06-10,6712
2021-06-11,6507
2021-06-12,5422
2021-06-13,6072
2021-06-14,8926
2021-06-15,9138
2021-06-16,9405
2021-06-17,9511
2021-06-18,8763
2021-06-19,7126
2021-06-20,8198
2021-06-21,12695
2021-06-22,13552
2021-06-23,14798
2021-06-24,15068
2021-06-25,14887
2021-06-26,13484
2021-06-27,15403
2021-06-28,23493
2021-06-29,23235
2021-06-30,23924
2021-07-01,24247
2021-07-02,22273
2021-07-03,20631
2021-07-04,21801
2021-07-05,30196
2021-07-06,31602
2021-07-07,34244
2021-07-08,29867
2021-07-09,29038
2021-07-10,25400
2021-07-11,27394
2021-07-12,40443
2021-07-13,43193
2021-07-14,50279
2021-07-15,57558
2021-07-16,51105
2021-07-17,35268
2021-07-18,33149
2021-07-19,43361
2021-07-20,35918
2021-07-21,31653
2021-07-22,27681
2021-07-23,24559
2021-07-24,20255
2021-07-25,19636
2021-07-26,26511
2021-07-27,25988
2021-07-28,26893
2021-07-29,25333
2021-07-30,22080
2021-07-31,18435
2021-08-01,18686
2021-08-02,26542
2021-08-03,27013
2021-08-04,28873
2021-08-05,28106
2021-08-06,24839
2021-08-07,19945
2021-08-08,20139
2021-08-09,28272
2021-08-10,27589
2021-08-11,29104
2021-08-12,27649
2021-08-13,24963
2021-08-14,21319
2021-08-15,21267
2021-08-16,30830
2021-08-17,31065
2021-08-18,31399
2021-08-19,29034
2021-08-20,25538
2021-08-21,22593
2021-08-22,22394
2021-08-23,30310
2021-08-24,28185
2021-08-25,27863
2021-08-26,26464
2021-08-27,24242
2021-08-28,20131
2021-08-29,19141
2021-08-30,24948
2021-08-31,33541
2021-09-01,31579
2021-09-02,30614
2021-09-03,28707
2021-09-04,23404
2021-09-05,23450
2021-09-06,33127
2021-09-07,27924
2021-09-08,25648
2021-09-09,24424
2021-09-10,21019
2021-09-11,16950
2021-09-12,17871
2021-09-13,25187
2021-09-14,22621
2021-09-15,22402
2021-09-16,22315
2021-09-17,22364
2021-09-18,20925
2021-09-19,24774
2021-09-20,32114
2021-09-21,30536
2021-09-22,28778
